"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Amount (Out)","Token (Out)","Amount (In)","Token (In)","Swapped Rate","Swapped Pair","DEX"
"0x8d85c92de8c0cf7d0fc3e35089238f4e0f20aa77cea2ff48dfe1438729cbde96","1619885081",2021-05-01 16:04:41,Sell,1419035417590.64, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x4ccc7ea6869f4cec562b43853bbe98f0f1f1d04fd4063c5a8b9a75b11a1f0fd6","1619885829",2021-05-01 16:17:09,Sell,8292968580601.65, BUNNY, 0.0929754493629765, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x6c5fe13b78f5ecae3dbd85866b830e75cca06654a24d3eb5562f9495e4dd2cbc","1619886116",2021-05-01 16:21:56,Sell,13775254702.9843, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0xc58c51f77f6bd786cbd842e6519893838e43eda7b77a911d4c8b649626b9e029","1619886262",2021-05-01 16:24:22,Sell,13847674002600.7, BUNNY, 0.155111215438737, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x57c6ad4193f3757fee5ffb53a8f3433fa8bda5f71b69648826432dd8fdbf8a51","1619888408",2021-05-01 17:00:08,Sell,11128119060156.9, BUNNY, 0.1245046957247, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x2d5b48b6c0bc9fde1b00d1c6debcb9690a97287e28f65489d76568960cd9871c","1619888432",2021-05-01 17:00:32,Sell,66435693318.602, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x16e7ca1ab469f8773cf329eb04149fb7958e5ed54fde85710c6286ea557c066d","1619888832",2021-05-01 17:07:12,Sell,1086907026671.95, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x345aa64ef3da38e234c95ed78f54b022713aba807a2f9319501ef8a6ac5bf8d6","1619889298",2021-05-01 17:14:58,Sell,106410102080.029, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x5b4b086873a6a06706189ed79eea79e7a1af45c58b0c71f634748830dd8799e5","1619889570",2021-05-01 17:19:30,Sell,80610645584.0463, BUNNY, 0, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x1dad67f0baa87bb4fffe773af49142e4dd838811dd266e3b52d980462078ab68","1619890209",2021-05-01 17:30:09,Sell,10781066808658.7, BUNNY, 0.121849624689861, ETH,0.00000000,ETH per BUNNY,Uniswap v2
"0x4f0bed17a76940132ac365f1bfca8b862fe6f5b975121075bbb8823b0519da80","1619890213",2021-05-01 17:30:13,Sell,3147356868204.29, BUNNY, 0.0355489505050213, ETH,0.00000000,ETH per BUNNY,Uniswap v2
